ID,D26156_s_at,L13278_at,L47738_at,L49229_f_at,M11147_at,M21551_rna1_at,M28170_at,M31211_s_at,M31523_at,M55150_at,M92287_at,S50223_at,U05259_rna1_at,U09087_s_at,U12471_cds1_at,U22376_cds2_s_at,U32944_at,U82759_at,X15949_at,X59417_at,X74262_at,Z15115_at,M91432_at,Class
1,1595,193,571,337,5418,178,397,601,1320,654,4778,268,9326,358,160,3105,3349,393,277,3016,1372,8444,767,ALL
2,822,31,2893,131,16000,336,20,435,898,1283,2700,346,895,82,134,1118,1002,118,104,3424,1184,1920,814,ALL
3,1452,198,2723,529,6156,345,183,547,597,1286,4926,804,628,263,167,4543,2089,667,91,7724,2221,3118,1547,ALL
4,654,91,731,422,7070,374,363,472,1644,915,5403,452,5314,218,104,5467,1625,410,403,3821,1051,4261,831,ALL
5,1011,194,649,354,9017,321,251,661,1322,732,3440,476,5354,186,145,3469,3502,119,416,5216,1370,3425,1423,ALL
6,1584,96,1858,327,6221,44,74,337,787,691,3179,256,282,209,81,3309,316,147,46,4194,1306,1790,430,ALL
7,578,178,280,354,4746,359,280,309,946,853,3978,208,5146,144,122,3936,1530,735,267,5528,1339,3810,764,ALL
8,1024,112,1716,232,7881,364,235,263,1917,1238,3293,310,4048,167,335,4745,1042,248,314,2073,655,6153,752,ALL
9,1297,198,2388,568,9431,333,24,978,1440,822,7324,640,423,385,131,4081,2286,258,210,7782,3593,3303,1777,ALL
10,971,20,913,20,5092,271,20,752,442,885,2676,152,585,146,264,1658,934,409,97,5204,1058,1329,426,ALL
11,1913,36,2147,20,6027,267,20,897,617,680,6134,441,147,89,195,2853,282,306,27,6541,953,2525,472,ALL
12,329,20,140,20,15280,20,84,334,474,412,2056,90,2504,37,104,551,277,20,20,846,209,1277,76,ALL
13,1593,170,556,207,6183,268,87,668,1969,548,10669,545,5075,283,150,4746,2069,87,588,7743,1624,6216,920,ALL
14,1011,188,1483,290,13077,20,155,265,686,1157,1912,570,155,179,135,1534,1613,188,307,1756,2050,3382,606,ALL
15,1763,217,1505,513,8506,64,371,898,2572,387,9211,571,5767,314,128,5311,2952,99,747,7288,1995,5831,1417,ALL
16,2065,240,904,190,3720,160,360,666,1439,707,3345,235,3649,106,182,4326,3110,67,393,6084,1625,5617,869,ALL
17,1778,254,643,214,12676,363,20,374,989,1822,2360,352,218,335,227,7155,2591,20,822,2455,3139,3714,2031,ALL
18,764,32,669,20,9783,333,195,516,1186,738,1316,20,3339,119,157,1178,820,102,515,1273,882,1616,954,ALL
19,1448,200,1137,45,4453,279,285,473,1224,907,2492,84,2696,91,290,3427,1116,432,339,6482,1459,4692,532,ALL
20,2191,338,3810,312,13988,117,470,1487,4555,860,6464,867,8148,268,70,6870,5908,359,748,7629,4253,11241,3192,ALL
21,768,119,1631,37,2900,152,514,688,2707,92,524,323,2805,20,39,9177,1143,149,201,5746,768,9114,896,ALL
22,1323,20,857,184,6074,265,95,143,274,686,3253,241,5397,30,126,4836,108,160,48,699,176,2572,70,ALL
23,1992,85,813,93,3729,20,53,376,590,803,3796,493,870,334,74,3085,146,366,20,2443,862,1601,321,ALL
24,1210,191,899,424,6023,392,418,531,1823,803,4093,502,5955,204,205,5815,2457,770,598,3840,1409,6110,992,ALL
25,738,20,223,77,13278,305,391,481,553,842,1689,301,5070,81,144,1872,1081,267,163,3878,489,2242,363,ALL
26,2143,20,759,20,4718,330,495,647,1909,514,5204,101,8219,109,98,3265,1480,59,169,3262,716,3074,636,ALL
27,1245,79,899,170,4110,64,219,145,1076,561,2581,20,4184,139,143,2877,1283,20,104,1810,500,5374,419,ALL
34,302,20,20,20,12406,405,20,153,299,1811,498,56,711,34,293,1126,427,652,35,782,279,2271,263,AML
35,201,20,218,38,7855,327,67,20,389,1406,165,168,654,48,322,880,288,262,79,490,336,1082,226,AML
36,667,22,20,20,16000,485,20,88,126,1707,1309,20,20,74,337,473,295,618,71,1648,194,2007,87,AML
37,697,20,20,93,16000,415,20,139,190,2072,852,20,218,52,417,186,224,805,20,528,130,802,183,AML
38,721,20,201,20,16000,582,20,75,275,1753,1484,62,251,33,271,680,230,673,64,99,51,939,111,AML
28,893,20,449,20,16000,456,20,300,353,1929,1283,107,20,91,238,794,384,822,64,1203,596,1238,323,AML
29,624,20,65,20,11012,259,35,237,279,1647,1525,150,412,58,217,1312,179,1137,35,1561,309,967,125,AML
30,388,20,172,60,16000,487,20,100,250,2112,811,20,343,20,213,485,651,1050,20,1628,313,1365,158,AML
31,432,60,239,56,12276,554,20,192,381,1555,1032,31,272,61,283,408,469,1157,23,1784,275,1568,295,AML
32,706,34,683,88,16000,462,20,339,671,1514,1024,210,306,50,264,1047,328,1083,59,1214,311,1843,368,AML
33,736,20,153,20,16000,672,20,59,200,2693,1827,20,20,20,304,335,133,1099,33,1583,20,936,110,AML
