@relation ALL_AML_SignificantGenes_NoID.train-fixed.arff

@attribute M55150_at numeric
@attribute X95735_at numeric
@attribute U50136_rna1_at numeric
@attribute U22376_cds2_s_at numeric
@attribute M81933_at numeric
@attribute M16038_at numeric
@attribute M84526_at numeric
@attribute M23197_at numeric
@attribute U82759_at numeric
@attribute Y12670_at numeric
@attribute D49950_at numeric
@attribute M27891_at numeric
@attribute X59417_at numeric
@attribute X52142_at numeric
@attribute M28170_at numeric
@attribute X17042_at numeric
@attribute U05259_rna1_at numeric
@attribute Y00787_s_at numeric
@attribute M96326_rna1_at numeric
@attribute U12471_cds1_at numeric
@attribute U46751_at numeric
@attribute M80254_at numeric
@attribute M92287_at numeric
@attribute L13278_at numeric
@attribute U09087_s_at numeric
@attribute L08246_at numeric
@attribute X74262_at numeric
@attribute M62762_at numeric
@attribute M31211_s_at numeric
@attribute M28130_rna1_s_at numeric
@attribute D26156_s_at numeric
@attribute M63138_at numeric
@attribute M31523_at numeric
@attribute M57710_at numeric
@attribute X15949_at numeric
@attribute M69043_at numeric
@attribute S50223_at numeric
@attribute U32944_at numeric
@attribute M81695_s_at numeric
@attribute L47738_at numeric
@attribute M83652_s_at numeric
@attribute X85116_rna1_s_at numeric
@attribute M11147_at numeric
@attribute Z15115_at numeric
@attribute M21551_rna1_at numeric
@attribute M19045_f_at numeric
@attribute X04085_rna1_at numeric
@attribute L49229_f_at numeric
@attribute X14008_rna1_f_at numeric
@attribute M91432_at numeric
@attribute X63469_at numeric
@attribute D38073_at numeric
@attribute U26266_s_at numeric
@attribute J05243_at numeric
@attribute M31303_rna1_at numeric
@attribute Y08612_at numeric
@attribute U20998_at numeric
@attribute AF012024_s_at numeric
@attribute X56411_rna1_at numeric
@attribute U29175_at numeric
@attribute HG1612-HT1612_at numeric
@attribute M13792_at numeric
@attribute D63874_at numeric
@attribute U72342_at numeric
@attribute X97267_rna1_s_at numeric
@attribute X76648_at numeric
@attribute U35451_at numeric
@attribute Z69881_at numeric
@attribute D63880_at numeric
@attribute Class {ALL,AML}

@data
654,298,1124,3105,20,365,20,261,393,600,75,303,3016,107,397,177,9326,333,782,160,1298,20,4778,193,358,543,1372,835,601,292,1595,1410,1320,20,277,1489,268,3349,695,571,20,162,5418,8444,178,382,1057,337,557,767,460,994,289,610,3828,517,1753,257,178,1582,3767,3221,4157,978,2323,1361,408,1766,556,ALL
1283,307,1062,1118,20,624,20,101,118,337,129,1358,3424,20,20,3460,895,5345,368,134,1379,109,2700,31,82,2972,1184,3072,435,2062,822,2325,898,2171,104,6084,346,1002,812,2893,364,169,16000,1920,336,3606,1395,131,2716,814,151,539,288,927,3021,351,1602,46,183,624,2890,10954,11557,324,1238,237,633,2015,476,ALL
1286,309,1398,4543,124,108,20,309,667,574,44,254,7724,20,183,416,628,301,1268,167,1496,20,4926,198,263,485,2221,609,547,20,1452,2789,597,20,91,2281,804,2089,810,2723,20,20,6156,3118,345,2997,823,529,1716,1547,230,1441,447,1697,7247,214,2761,139,166,753,5996,16000,12125,855,1982,1240,912,3556,498,ALL
915,693,942,5467,167,873,20,288,410,716,218,20,3821,190,363,392,5314,241,882,104,1401,20,5403,91,218,740,1051,935,472,20,654,1132,1644,22,403,2178,452,1625,599,731,34,199,7070,4261,374,1331,1655,422,1143,831,314,680,424,425,3780,432,1486,168,131,743,2810,5364,8484,369,3947,992,304,828,1211,ALL
732,713,928,3469,114,686,290,395,119,524,110,20,5216,361,251,7972,5354,93,949,145,1894,139,3440,194,186,2453,1370,1665,661,138,1011,1269,1322,244,416,1094,476,3502,282,649,218,334,9017,3425,321,3069,2000,354,2917,1423,632,950,364,529,3563,596,2298,94,141,626,2206,2837,9575,653,3324,1233,398,1496,820,ALL
691,247,842,3309,56,302,20,58,147,270,33,1168,4194,26,74,597,282,215,910,81,528,46,3179,96,209,375,1306,499,337,23,1584,1854,787,108,46,1513,256,316,711,1858,401,117,6221,1790,44,2850,537,327,3300,430,181,1258,320,1682,4890,220,1013,197,151,1157,3881,16000,5315,449,1710,401,506,2606,485,ALL
853,52,1066,3936,203,325,20,84,735,463,115,20,5528,191,280,403,5146,159,826,122,1747,20,3978,178,144,961,1339,764,309,107,578,2735,946,20,267,2866,208,1530,556,280,255,378,4746,3810,359,1201,6133,354,830,764,213,509,381,386,3330,196,898,188,245,552,3723,6067,6270,638,1488,821,357,473,734,ALL
1238,20,1668,4745,20,244,20,251,248,689,32,20,2073,179,235,140,4048,455,1302,335,1514,20,3293,112,167,404,655,1323,263,20,1024,1962,1917,674,314,2129,310,1042,1281,1716,20,571,7881,6153,364,1947,775,232,1683,752,227,331,53,629,4213,436,1586,61,77,572,4072,3103,4566,361,2215,1012,134,2067,223,ALL
822,20,966,4081,124,273,20,155,258,262,20,336,7782,240,24,848,423,445,1337,131,803,94,7324,198,385,783,3593,1741,978,104,1297,2900,1440,103,210,3862,640,2286,746,2388,521,20,9431,3303,333,2629,633,568,1965,1777,362,1974,869,2760,7230,513,2334,269,205,1776,7439,15235,10061,576,3420,929,982,4461,686,ALL
885,492,1175,1658,89,144,20,167,409,167,54,498,5204,96,20,1094,585,522,82,264,1939,45,2676,20,146,1288,1058,1188,752,20,971,1855,442,252,97,1974,152,934,513,913,20,176,5092,1329,271,2148,463,20,1781,426,47,664,403,1722,5052,114,878,99,119,756,4791,8982,7194,99,723,330,613,1777,721,ALL
